URL,IsHTTPS,HasExternalFormSubmit,HasSubmitButton,HasPasswordField,NoOfExternalRef,label
https://www.miroslavvitous.com,1,0,1,0,63,1
https://my-business-102322-103765.square.site/,1,0,0,0,1,0
https://www.edmsauce.com,1,0,1,0,142,1
https://www.ccit.edu.cn,1,0,1,0,45,1
https://ipfs.litnet.work/ipfs/bafybeieqjbfglnuiidkzqb5ivcdvpc6ksg3eb4sztxcdofg6lfw3gzk4p4,1,0,0,0,0,0
http://u1931684.plsk.regruhosting.ru/ysoo/fr/674116309/i/index.php,0,0,1,0,3,0
https://www.moneey.co.kr,1,0,0,0,9,1
https://www.cdk-technologies.com,1,0,1,0,16,1
https://www.geomodelsolar.eu,1,0,1,0,54,1
https://www.sbba.org.uk,1,0,1,0,60,1
https://www.onegarden.co.uk,1,0,1,0,17,1
https://www.papercalculator.org,1,0,1,0,9,1
https://vviffyatt.square.site/,1,0,0,0,1,0
http://festive-bell.23-147-225-74.plesk.page/googles-lipomte.php,0,0,0,0,0,0
https://stupendousfavorableprotocols.scorebest.repl.co/,1,0,0,0,2,0
http://www.aouynopb.ml,0,0,0,0,0,0
https://www.tisserontorthodontics.com,1,0,1,0,50,1
http://upholldlloggiin.mystrikingly.com/,0,0,0,0,0,0
http://renv934xorasdbolivi40s9d000423.sigue.la/bpingreso.html,0,0,0,0,0,0
https://www.prattcenter.net,1,0,1,0,10,1
https://www.owid.de,1,0,0,0,15,1
https://www.ssca.org.in,1,0,0,0,2,1
https://sjqf-g5vb-f.firebaseapp.com/,1,0,0,0,3,0
https://www.bassie-adriaan.nl,1,0,1,0,34,1
http://www.aquarentboats.com,0,0,0,0,2,0
https://group-sg.web.app/,1,0,0,0,3,0
https://www.nyfd.com,1,0,1,0,115,1
https://www.ousa.org.nz,1,0,1,0,23,1
http://www.kuerennkaycaato-co-jp.kuerccnkayccata.pkoulk.top/ai/?authenticated=true&openid/gp/signin/x&i=a&oauth=m&i?ie=utf8&ref_=rhf_custrec_signina78ad018aac4863d503e27b2b6617c5db9e0011e,0,0,1,0,0,0
https://thebabytheater.com/00ad7e3/,1,0,0,0,0,0
https://n5de23inc.wixsite.com/at-t-mail,1,0,0,0,1,0
https://dev-bancobogotatoken09.pantheonsite.io,1,0,0,0,3,0
https://btbusiness-8f90be.webflow.io/,1,0,0,0,2,0
https://www.b-u-b.de,1,0,1,0,10,1
https://www.cratostoken.com,1,0,1,0,44,1
http://www.nulumelighting.com,0,0,0,0,1,0
https://www.villaspada.net,1,0,1,0,173,1
https://www.milanoretailtour.com,1,0,0,0,65,1
https://www.championforest.org,1,0,0,0,24,1
https://juriskiana7.firebaseapp.com/,1,0,0,0,1,0
https://www.getstem.com.au,1,0,1,0,184,1
https://www.globtroter.info,1,0,0,0,34,1
http://www.dorotheesausset.com,0,0,0,0,0,0
http://www.aogzgfsav57enuf.gq,0,0,0,0,0,0
https://galiciaeminent--ericalopez4.repl.co/,1,0,0,0,2,0
https://www.idalgo.net,1,0,0,0,21,1
http://www.221153.56114.net.cn,0,0,0,0,0,0
https://www.holochain.org,1,0,1,0,48,1
https://www.amzanao.co.ip.pungtha.one/,1,0,0,0,0,0
https://www.dunnsfishfarm.com,1,0,1,0,32,1
https://www.aberdeencity.gov.uk,1,0,1,0,54,1
http://www.ljd.csqoy.com,0,0,0,0,0,0
https://ipfs.litnet.work/ipfs/bafybeifmp3dndquur5ozvqhdghdum2lgjvdm3nhozradqlciz344coxuvy,1,0,0,0,0,0
https://www.macrolibrarsi.it,1,0,1,1,58,1
http://www.aouynops.gq,0,0,0,0,0,0
http://www.bank-japanpostpo.jp,0,0,0,0,0,0
http://www.bopecaptain.0xhost.net,0,0,0,0,0,0
https://webmail-107004.weeblysite.com/,1,0,0,0,4,0
https://www.defenceviewpoints.co.uk,1,0,0,0,13,1
https://www.free-press-release-center.info,1,1,1,1,20,1
https://94c6e9e1-cd6d-422f-9b88-5e77523359e2.id.repl.co,1,0,0,0,2,0
https://www.pluto.media,1,0,1,1,85,1
https://carlotta-unusual-activity-com.alessandrogaylord.ml/chinacantonfairdate/neteasehardest/900/index.php,1,0,1,1,1,0
https://www.olimex.com,1,0,1,0,32,1
https://www.museumofmagneticsoundrecording.org,1,0,1,0,79,1
http://crediyande.temp.swtest.ru/postale/new%20scam%20postale,0,0,0,0,1,0
http://www.s01.vidtod.me,0,0,0,0,0,0
http://1636365.com/assets/40vueuse.4080c24a.js/assets/@vueuse.7ab573ac.js/assets/assets/@floating-ui.4bc9703a.js/assets/,0,0,0,0,1,0
http://www.telomedic.com,0,0,0,0,0,0
http://banreservas-aler.vastserve.com/?i=1,0,0,0,0,1,0
https://flat-king-b0d3.zebwcorp.workers.dev/,1,0,0,0,0,0
https://www-realizesolucoesfinanceiras-com-br-4.rds.land/fatura-renner-hoje?gclid=eaiaiqobchmiy-ak-o6k_aivif_ich1wvgckeaayasaaegivipd_bwe,1,0,0,0,0,0
https://www.ip-paris.fr,1,0,1,0,28,1
https://www.umbertoguidoni.it,1,0,1,0,97,1
https://6754687--subnetwork.repl.co/,1,0,0,0,2,0
https://qgwhbdk.weeblysite.com/,1,0,0,0,4,0
https://www.usdaindonesia.org,1,1,0,0,74,1
https://www.nortoninternetsecurity.cc,1,0,1,0,209,1
http://www.a0560022.xsph.ru,0,0,0,0,0,0
https://sousblockshumajex.undertakerr.repl.co/,1,0,0,0,3,0
https://www.n-t.gr,1,0,1,0,27,1
https://www.tumbleweedhouses.com,1,0,1,0,101,1
http://www.abgeblasen.de,0,0,0,0,1,0
https://www.lowesonline.net,1,0,1,0,159,1
https://www.congresotamaulipas.gob.mx,1,0,0,0,13,1
https://www.tbairport.on.ca,1,0,0,0,183,1
https://www.tapinator.com,1,0,1,0,55,1
